Status do Arquivo: Final
RptDt;TckrSymb;ISIN;SgmtNm;MinPric;MaxPric;TradAvrgPric;LastPric;OscnPctg;AdjstdQt;AdjstdQtTax;RefPric;TradQty;FinInstrmQty;NtlFinVol
2025-09-10;A1LB34;BRA1LBBDR008;CASH;;;16,50;;;;;;1;1;16,5
2025-09-10;A1MD34;BRA1MDBDR002;CASH;;;107,04;;;;;;1;10;1070,4
2025-09-10;A1NE34;BRA1NEBDR008;CASH;;;203,74;;;;;;2;34;6927,12
2025-09-10;AALR3F;BRAALRACNOR6;ODD LOT;;;6,22;;;;;;1;1;6,22
2025-09-10;AAPL34;BRAAPLBDR004;CASH;;;61,29;;;;;;33;4321;264838,21
2025-09-10;ABCB4;BRABCBACNPR4;CASH;;;22,50;;;;;;9;3500;78742
2025-09-10;ABCB4F;BRABCBACNPR4;ODD LOT;;;22,52;;;;;;32;330;7432,41
2025-09-10;ABCP11;BRABCPCTF000;CASH;;;80,42;;;;;;2;14;1125,88
2025-09-10;ABEV3;BRABEVACNOR1;CASH;;;12,39;;;;;;17;16200;200682
2025-09-10;ABEV3F;BRABEVACNOR1;ODD LOT;;;12,38;;;;;;19;342;4234,34
2025-09-10;ACWI11;BRACWICTF001;CASH;;;15,36;;;;;;1;50;768
2025-09-10;ADBE34;BRADBEBDR003;CASH;;;38,04;;;;;;3;200;7607,92
2025-09-10;AERI3;BRAERIACNOR4;CASH;;;4,14;;;;;;4;1200;4970
2025-09-10;AERI3F;BRAERIACNOR4;ODD LOT;;;4,14;;;;;;2;3;12,42
2025-09-10;AFHI11;BRAFHICTF005;CASH;;;92,95;;;;;;1;2;185,9
2025-09-10;AGRO3F;BRAGROACNOR7;ODD LOT;;;20,77;;;;;;13;186;3862,29
2025-09-10;AGRX11;BRAGRXCTF001;CASH;;;7,96;;;;;;1;1;7,96
2025-09-10;AIRB34;BRAIRBBDR004;CASH;;;33,35;;;;;;2;2;66,7
2025-09-10;AJFI11;BRAJFICTF001;CASH;;;7,75;;;;;;2;7;54,25
2025-09-10;ALLD3F;BRALLDACNOR3;ODD LOT;;;8,22;;;;;;2;64;526,08
2025-09-10;ALOS3;BRALOSACNOR5;CASH;;;24,26;;;;;;3;300;7277
2025-09-10;ALOS3F;BRALOSACNOR5;ODD LOT;;;24,29;;;;;;2;5;121,45
2025-09-10;ALPA4;BRALPAACNPR7;CASH;;;10,10;;;;;;6;6000;60625
2025-09-10;ALUP11F;BRALUPCDAM15;ODD LOT;;;30,44;;;;;;6;111;3378,43
2025-09-10;ALUP3F;BRALUPACNOR8;ODD LOT;;;10,60;;;;;;1;3;31,8
2025-09-10;ALZR11;BRALZRCTF006;CASH;;;10,45;;;;;;21;498;5203,57
2025-09-10;AMAR3;BRAMARACNOR4;CASH;;;1,30;;;;;;1;1000;1300
2025-09-10;AMBP3;BRAMBPACNOR6;CASH;;;12,49;;;;;;5;500;6244
2025-09-10;AMBP3F;BRAMBPACNOR6;ODD LOT;;;12,51;;;;;;28;421;5268,3
2025-09-10;AMER3;BRAMERACNOR6;CASH;;;6,63;;;;;;21;14000;92774
2025-09-10;AMER3F;BRAMERACNOR6;ODD LOT;;;6,62;;;;;;5;136;900,28
2025-09-10;AMOB3F;BRAMOBACNOR9;ODD LOT;;;12,44;;;;;;1;8;99,52
2025-09-10;AMZO34;BRAMZOBDR002;CASH;;;62,45;;;;;;20;1203;75131,52
2025-09-10;ANIM3;BRANIMACNOR6;CASH;;;3,42;;;;;;14;9400;32133
2025-09-10;ANIM3F;BRANIMACNOR6;ODD LOT;;;3,41;;;;;;5;94;320,99
2025-09-10;APTO11;BRAPTOCTF007;CASH;;;8,46;;;;;;2;10;84,6
2025-09-10;ARML3;BRARMLACNOR1;CASH;;;3,83;;;;;;14;5100;19550
2025-09-10;ARML3F;BRARMLACNOR1;ODD LOT;;;3,85;;;;;;14;132;508,65
2025-09-10;AROA11;BRAROACTF003;CASH;;;1,01;;;;;;1;1;1,01
2025-09-10;ARRI11;BRARRICTF009;CASH;;;6,57;;;;;;8;102;669,95
2025-09-10;ARXD11;BRARXDCTF008;CASH;;;7,42;;;;;;1;136;1009,12
2025-09-10;ASAI3;BRASAIACNOR0;CASH;;;9,95;;;;;;3;1900;18901
2025-09-10;ASAI3F;BRASAIACNOR0;ODD LOT;;;9,98;;;;;;4;16;159,61
2025-09-10;ATTB34;BRATTBBDR007;CASH;;;52,95;;;;;;1;10;529,5
2025-09-10;AURA33;BRAURABDR001;CASH;;;59,75;;;;;;18;1171;69972,43
