CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Empresarial;Canal_Divulgacao;Sigla_UF
00.000.000/0001-91;2025-01-01;1;146477;BCO BRASIL S.A.;Correio Braziliense;DF
00.000.000/0001-91;2025-01-01;1;146477;BCO BRASIL S.A.;https://portal.mzgroup.com/fatos-relevantes/;SP
00.000.000/0001-91;2025-01-01;1;146477;BCO BRASIL S.A.;ri.bb.com.br;BR
00.000.000/0001-91;2025-01-01;1;146477;BCO BRASIL S.A.;www.cvm.gov.br;BR
00.000.208/0001-00;2025-01-01;2;149158;BRB BANCO DE BRASILIA S.A.;Diário Oficial do Distrito Federal;DF
00.000.208/0001-00;2025-01-01;2;149158;BRB BANCO DE BRASILIA S.A.;Jornal Correio Braziliense;DF
00.000.208/0001-00;2025-01-01;2;149158;BRB BANCO DE BRASILIA S.A.;Portal de notícias Luz Publicidade (https://luzdigi.com.br);RJ
00.001.180/0001-26;2025-01-01;4;150856;CENTRAIS ELET BRAS S.A. - ELETROBRAS;Valor Econômico;SP
00.070.698/0001-11;2025-01-01;1;150598;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;Correio Braziliense;DF
00.080.671/0001-00;2025-01-01;2;144960;CARAMURU ALIMENTOS S.A.;Jornal Plural Notícias;GO
00.185.475/0001-08;2025-01-01;4;149963;PARCOM PARTICIPACOES S.A. - EM LIQUIDAÇÃO;Diário do Acionista;RJ
00.194.724/0001-13;2025-01-01;2;151509;Auren Operações S.A.;Diário Comercial (https://diariocomercial.com.br/publicidade-legal/);SP
00.194.724/0001-13;2025-01-01;2;151509;Auren Operações S.A.;Portal Valor RI (http://www.valor.com.br/valor-ri);BR
00.194.724/0001-13;2025-01-01;2;151509;Auren Operações S.A.;Valor Econômico;SP
00.242.184/0001-04;2025-01-01;1;144425;ARMAC LOCAÇÃO, LOGÍSTICA E SERVIÇOS S.A.;Diário Oficial do Estado de São Paulo;SP
00.242.184/0001-04;2025-01-01;1;144425;ARMAC LOCAÇÃO, LOGÍSTICA E SERVIÇOS S.A.;O Dia;SP
00.249.786/0001-85;2025-01-01;4;149960;FORPART S.A. - EM LIQUIDAÇÃO;Diário do Acionista;RJ
00.336.701/0001-04;2025-01-01;1;147779;TELEC BRASILEIRAS S.A. TELEBRAS;http://www.telebras.com.br/investidores;DF
00.336.701/0001-04;2025-01-01;1;147779;TELEC BRASILEIRAS S.A. TELEBRAS;https://jornaldebrasilia.com.br;DF
00.357.038/0001-16;2025-01-01;2;150903;Centrais Elétricas do Norte do Brasil S.A.;Jornal de Brasília;DF
00.357.038/0001-16;2025-01-01;2;150903;Centrais Elétricas do Norte do Brasil S.A.;Portal de notícias - Valor Globo;SP
00.359.742/0001-08;2025-01-01;5;149878;FICTOR ALIMENTOS S.A.;Portal de notícias Luz Publicidade (www.luzdigi.com.br);SP
00.359.742/0001-08;2025-01-01;5;149878;FICTOR ALIMENTOS S.A.;Sistema EmpresasNET (www.rad.cvm.gov.br/ENET);SP
00.359.742/0001-08;2025-01-01;5;149878;FICTOR ALIMENTOS S.A.;Site Companhia (www.fictoralimentos.com.br);SP
