CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Empresarial;Tipo_Endereco;Logradouro;Complemento;Bairro;Cidade;Sigla_UF;Pais;CEP;Caixa_Postal;DDI_Telefone;DDD_Telefone;Telefone;DDI_Fax;DDD_Fax;Fax;Email
00.000.000/0001-91;2025-01-01;1;146477;BCO BRASIL S.A.;Endereço da Sede;Saun Quadra 05, Lote B;Ed. BB;Asa Norte;Brasília;DF;Brasil;70040912;;;61;34939002;;;;secex@bb.com.br
00.000.000/0001-91;2025-01-01;1;146477;BCO BRASIL S.A.;Endereço para Correspondência;Saun Quadra 05 Lote B Torre Norte - Ed. BB;16° andar;Asa Norte;Brasília;DF;Brasil;70040912;;;61;34939002;;;;secex@bb.com.br
00.000.208/0001-00;2025-01-01;2;149158;BRB BANCO DE BRASILIA S.A.;Endereço da Sede;SAUN Quadra 5 lote C bloco C 17° andar;CNC;Asa Norte;Brasília;DF;Brasil;70040250;;;61;34092085;;;;ri@brb.com.br
00.000.208/0001-00;2025-01-01;2;149158;BRB BANCO DE BRASILIA S.A.;Endereço para Correspondência;SAUN Quadra 5 lote C bloco C 13ª andar;CNC;Asa Norte;Brasília;DF;Brasil;70040250;;;61;34092085;;;;ri@brb.com.br
00.001.180/0001-26;2025-01-01;4;150856;CENTRAIS ELET BRAS S.A. - ELETROBRAS;Endereço da Sede;Av. Graça Aranha, 26;;Centro;Rio de Janeiro;RJ;Brasil;20030900;;;21;25145000;;;;francisco.duarte@eletrobras.com
00.001.180/0001-26;2025-01-01;4;150856;CENTRAIS ELET BRAS S.A. - ELETROBRAS;Endereço para Correspondência;Av. Graça Aranha, 26;15º Andar;Centro;Rio de Janeiro;RJ;Brasil;20030900;;;21;25146337;;;;francisco.duarte@eletrobras.com
00.070.698/0001-11;2025-01-01;1;150598;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;Endereço da Sede;SGAN Quadra 601, Bloco H, Salas 2010 a 2023;Edifício ÍON;Asa Norte;Brasília;DF;Brasil;70830010;;;61;37741001;;;;ri@ceb.com.br
00.070.698/0001-11;2025-01-01;1;150598;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;Endereço para Correspondência;SGAN Quadra 601, Bloco H, Salas 2010 a 2023;Edifício ÍON;Asa Norte;Brasília;DF;Brasil;70830010;;;61;37741001;;;;ri@ceb.com.br
00.080.671/0001-00;2025-01-01;2;144960;CARAMURU ALIMENTOS S.A.;Endereço da Sede;Via Expressa Júlio Borges de Souza, 4.240;às margens da BR 153;Nossa Senh. da Saúde;Itumbiara;GO;Brasil;75520900;;;64;34040900;;;;ri@caramuru.com.br
00.080.671/0001-00;2025-01-01;2;144960;CARAMURU ALIMENTOS S.A.;Endereço para Correspondência;Via Expressa Júlio Borges de Souza, 4.240;às margens da BR 153;Nossa Senh. da Saúde;Itumbiara;GO;Brasil;75520900;;;64;34040900;;;;ri@caramuru.com.br
00.185.475/0001-08;2025-01-01;4;149963;PARCOM PARTICIPACOES S.A. - EM LIQUIDAÇÃO;Endereço da Sede;AV. PRESIDENTE ANTONIO CARLOS Nº 51;10º ANDAR(PTE);CENTRO;Rio de Janeiro;RJ;Brasil;20020010;;;21;38043700;;;;gar@opportunity.com.br
00.185.475/0001-08;2025-01-01;4;149963;PARCOM PARTICIPACOES S.A. - EM LIQUIDAÇÃO;Endereço para Correspondência;AV PRESIDENTE ANTONIO CARLOS Nº 51;10º ANDAR(PTE);CENTRO;Rio de Janeiro;RJ;Brasil;20020010;;;21;38043700;;;;gar@opportunity.com.br
00.194.724/0001-13;2025-01-01;2;151509;Auren Operações S.A.;Endereço da Sede;Av. das Nações Unidas, 8501;2º Andar;Pinheiros;São Paulo;SP;Brasil;05425070;;;11;28742540;;;;ri@aurenenergia.com.br
00.194.724/0001-13;2025-01-01;2;151509;Auren Operações S.A.;Endereço para Correspondência;Av. das Nações Unidas, 8501;2º Andar;Pinheiros;São Paulo;SP;Brasil;05425070;;;11;28742540;;;;ri@aurenenergia.com.br
00.242.184/0001-04;2025-01-01;1;144425;ARMAC LOCAÇÃO, LOGÍSTICA E SERVIÇOS S.A.;Endereço da Sede;Av. Marcos Penteado de Ulhôa Rodrigues, 939, Conj. 701 e 702;Torre II, Ed. Jatobá;Tamboré;Barueri;SP;Brasil;06460040;;;11;40035511;;;;ri@armac.com.br
00.242.184/0001-04;2025-01-01;1;144425;ARMAC LOCAÇÃO, LOGÍSTICA E SERVIÇOS S.A.;Endereço para Correspondência;Av. Marcos Penteado de Ulhôa Rodrigues, 939, Conj. 701 e 702;Torre II, Ed. Jatobá;Tamboré;Barueri;SP;Brasil;06460040;;;11;40035511;;;;ri@armac.com.br
00.249.786/0001-85;2025-01-01;4;149960;FORPART S.A. - EM LIQUIDAÇÃO;Endereço da Sede;AV PRESIDENTE ANTONIO CARLOS Nº 51;10º ANDAR(PTE);CENTRO;Rio de Janeiro;RJ;Brasil;20020010;;;21;38043700;;;;gar@opportunity.com.br
00.249.786/0001-85;2025-01-01;4;149960;FORPART S.A. - EM LIQUIDAÇÃO;Endereço para Correspondência;AV. PRESIDENTE ANTONIO CARLOS Nº 51;10º ANDAR(PTE);CENTRO;Rio de Janeiro;RJ;Brasil;20020010;;;21;38043700;;;;gar@opportunity.com.br
00.336.701/0001-04;2025-01-01;1;147779;TELEC BRASILEIRAS S.A. TELEBRAS;Endereço da Sede;SIG Quadra 4 lotes 075, 083, 125 e 175, Bloco A;Salas 211 a 224;SIG;Brasília;DF;Brasil;70610440;;;61;20271208;;;;ari@telebras.com.br
00.336.701/0001-04;2025-01-01;1;147779;TELEC BRASILEIRAS S.A. TELEBRAS;Endereço para Correspondência;SIG Quadra 4 lotes 075, 083, 125 e 175, Bloco A;Salas 211 a 224;SIG;Brasília;DF;Brasil;70610440;;;61;20271208;;;;ari@telebras.com.br
00.357.038/0001-16;2025-01-01;2;150903;Centrais Elétricas do Norte do Brasil S.A.;Endereço da Sede;SEPN 504;Bloco D;Asa Norte;Brasília;DF;Brasil;7073052;;;61;34296400;;;;fr.n@eletrobras.com
00.357.038/0001-16;2025-01-01;2;150903;Centrais Elétricas do Norte do Brasil S.A.;Endereço para Correspondência;SEPN 504;Bloco D;Asa Norte;Brasília;DF;Brasil;7073052;;;61;34296400;;;;fr.n@eletrobras.com
00.359.742/0001-08;2025-01-01;5;149878;FICTOR ALIMENTOS S.A.;Endereço da Sede;Rua Surubim, n° 373;4° andar;Cidade Monções;São Paulo;SP;Brasil;04571050;;;11;52003474;;;;ri@fictoralimentos.com.br
00.359.742/0001-08;2025-01-01;5;149878;FICTOR ALIMENTOS S.A.;Endereço para Correspondência;Rua Surubim, n° 373;4° andar;Cidade Monções;São Paulo;SP;Brasil;04571050;;;11;52003474;;;;ri@fictoralimentos.com.br
00.383.281/0001-09;2025-01-01;1;146253;BNDES PARTICIPACOES S.A. - BNDESPAR;Endereço da Sede;Quadra 09, Torre C - Edifício Parque Cidade;12º andar;Setor Comercial Sul;Brasilia;DF;Brasil;70308200;;;61;32045600;;;;DIR3@bndes.gov.br
00.383.281/0001-09;2025-01-01;1;146253;BNDES PARTICIPACOES S.A. - BNDESPAR;Endereço para Correspondência;Avenida República do Chile 100;22º andar;Centro;Rio de Janeiro;RJ;Brasil;20031917;;;21;37478590;;;;DIR3@bndes.gov.br
00.389.481/0001-79;2025-01-01;1;149894;LM TRANSPORTES INTERESTADUAIS SERVIÇOS E COMÉRCIO S.A.;Endereço da Sede;Rua da Alfazema, nº 761;7º andar sala 703;Caminho das Árvores;Salvador;BA;Brasil;41820710;;;71;21029602;;;;ri@lmmobilidade.com.br
00.389.481/0001-79;2025-01-01;1;149894;LM TRANSPORTES INTERESTADUAIS SERVIÇOS E COMÉRCIO S.A.;Endereço para Correspondência;Rua da Alfazema, nº 761;7º andar;Caminho das Árvores;Salvador;BA;Brasil;41820710;;;71;21022800;;;;ri@lmmobilidade.com.br
00.644.907/0001-93;2025-01-01;1;147197;INVESTCO S.A.;Endereço da Sede;ROD-TO Miracema;KM 23;Rodovia-TO;Miracema do Tocantins;TO;Brasil;77650000;;;63;33113407;;;;reportefinanceiro@edpbr.com.br
00.644.907/0001-93;2025-01-01;1;147197;INVESTCO S.A.;Endereço para Correspondência;Rua Werner Von Siemens, 111;Prédio 22, bloco A.;Lapa de Baixo;São Paulo;SP;Brasil;05069900;;;11;21855000;;;;reportefinanceiro@edpbr.com.br
00.743.065/0001-27;2025-01-01;1;148120;LITEL PARTICIPACOES S.A.;Endereço da Sede;Av. Ayrton Senna;3000 - sala 4098;Barra da Tijuca;Rio de Janeiro;RJ;Brasil;22775003;;;21;35960400;;;;eximia@eximiacapital.com
