CNPJ_Fundo_Classe;Data_Referencia;Versao;Nome_Ativo;Objetivos;Montante_Investido;Origem_Recursos
01.235.622/0001-61;2024-12-01;1;CRI_23L1952070- OPEASECURITIZADORA;Beneficios Futuros;2230521.64;Capital
01.235.622/0001-61;2024-12-01;1;CRI_23L1952070- OPEASECURITIZADORA;Beneficios Futuros;2626526.84;Capital
01.235.622/0001-61;2024-12-01;1;CRI_23L1952070- OPEASECURITIZADORA;Beneficios Futuros;1181853.49;Capital
01.235.622/0001-61;2024-12-01;1;CRI_23L1952070- OPEASECURITIZADORA;Beneficios Futuros;141248.05;Capital
01.235.622/0001-61;2024-12-01;1;CRI_23L1952070- OPEASECURITIZADORA;Beneficios Futuros;797002.67;Capital
01.235.622/0001-61;2024-12-01;1;CRI_23L1952070- OPEASECURITIZADORA;Beneficios Futuros;582978.68;Capital
01.235.622/0001-61;2024-12-01;1;CRI_23L1952070- OPEASECURITIZADORA;Beneficios Futuros;129718.08;Capital
01.235.622/0001-61;2024-12-01;1;CRI_23L1952070- OPEASECURITIZADORA;Beneficios Futuros;2187100.9;Capital
01.235.622/0001-61;2024-12-01;1;CRI_23L1952070- OPEASECURITIZADORA;Beneficios Futuros;2341902.63;Capital
01.235.622/0001-61;2024-12-01;1;CRI_23L1952070- OPEASECURITIZADORA;Beneficios Futuros;921082;Capital
01.235.622/0001-61;2024-12-01;1;CRI_23L1952070- OPEASECURITIZADORA;Beneficios Futuros;1032169.81;Capital
01.235.622/0001-61;2024-12-01;1;CRI_23L1952070- OPEASECURITIZADORA;Beneficios Futuros;819611.5;Capital
03.251.720/0001-18;2024-12-01;1;LFT 01/03/2029;Lucro na Venda;11575866.87;Capital
03.251.720/0001-18;2024-12-01;1;Centro Empresarial Agua Branca - Torre New York;Renda;124101000.00;Capital
03.251.720/0001-18;2024-12-01;1;Centro Empresarial Agua Branca - Torre Los Angeles;Renda;136151000.00;Capital
04.722.883/0001-02;2024-12-01;1;CDB CDB124BHCV6;Lucro na Venda;4513.27;Capital
04.722.883/0001-02;2024-12-01;1;CDB CDB124BHCV7;Lucro na Venda;3113.75;Capital
