CNPJ_Fundo_Classe;Data_Referencia;Versao;Numero_Cotistas_Faixa_Ate_5;Numero_Cotas_Detidas_Faixa_Ate_5;Percentual_Cotas_Detidas_Faixa_Ate_5;Percentual_Detido_PF_Faixa_Ate_5;Percentual_Detido_PJ_Faixa_Ate_5;Numero_Cotistas_Faixa_5a10;Numero_Cotas_Detidas_Faixa_5a10;Percentual_Cotas_Detidas_Faixa_5a10;Percentual_Detido_PF_Faixa_5a10;Percentual_Detido_PJ_Faixa_5a10;Numero_Cotistas_Faixa_10a15;Numero_Cotas_Detidas_Faixa_10a15;Percentual_Cotas_Detidas_Faixa_10a15;Percentual_Detido_PF_Faixa_10a15;Percentual_Detido_PJ_Faixa_10a15;Numero_Cotistas_Faixa_15a20;Numero_Cotas_Detidas_Faixa_15a20;Percentual_Cotas_Detidas_Faixa_15a20;Percentual_Detido_PF_Faixa_15a20;Percentual_Detido_PJ_Faixa_15a20;Numero_Cotistas_Faixa_20a30;Numero_Cotas_Detidas_Faixa_20a30;Percentual_Cotas_Detidas_Faixa_20a30;Percentual_Detido_PF_Faixa_20a30;Percentual_Detido_PJ_Faixa_20a30;Numero_Cotistas_Faixa_30a40;Numero_Cotas_Detidas_Faixa_30a40;Percentual_Cotas_Detidas_Faixa_30a40;Percentual_Detido_PF_Faixa_30a40;Percentual_Detido_PJ_Faixa_30a40;Numero_Cotistas_Faixa_40a50;Numero_Cotas_Detidas_Faixa_40a50;Percentual_Cotas_Detidas_Faixa_40a50;Percentual_Detido_PF_Faixa_40a50;Percentual_Detido_PJ_Faixa_40a50;Numero_Cotistas_Faixa_Acima_50;Numero_Cotas_Detidas_Faixa_Acima_50;Percentual_Cotas_Detidas_Faixa_Acima_50;Percentual_Detido_PF_Faixa_Acima_50;Percentual_Detido_PJ_Faixa_Acima_50
00.332.266/0001-31;2024-12-01;1;4057;1151591;0.4112;0.2375;0.1737;1;169672;0.0606;0;0.0606;2;705298;0.2519;0;0.2519;;;;;;1;773588;0.2763;0;0.2763;;;;;;;;;;;;;;;
00.613.094/0001-74;2024-12-01;1;603;180800;0.2385;0.3362;0.6638;1;54168;0.0714;0;1;2;193496;0.2551;0;1;1;121738;0.1605;0;1;1;208198;0.2745;0;1;;;;;;;;;;;;;;;
00.762.723/0001-28;2024-12-01;1;2398;830132;0.2117;0.1281;0.0836;;;;;;1;454425;0.115882353241187;;0.1159;;;;;;;;;;;;;;;;;;;;;1;2636877;0.6724;;0.6724
00.868.235/0001-08;2024-12-01;1;3;2100;0.0387;0.0387;0;2;6056;0.1115;0;0.1115;;;;;;;;;;;;;;;;;;;;;;;;;;1;46160;0.849841667;0;0.849841667
01.201.140/0001-90;2024-12-01;1;15253;1349465;0.28656;0.2725;0.0141;2;842927;0.179;0.179;0;1;664019;0.141008;0;0.141008;2;1852671;0.393428;0;0.393428;;;;;;;;;;;;;;;;;;;;
01.235.622/0001-61;2024-12-01;1;119;142457;0.1196;0.015;0.1046;5;355304;0.2983;0;0.2983;;;;;;;;;;;1;284869;0.2392;;0.2392;1;408471;0.3429;0;0.3429;;;;;;;;;;
01.497.954/0001-14;2024-12-01;1;4;576863;0.066276;0.008667;0.057609;;;;;;;;;;;1;1740799;0.2;0.2;0;;;;;;;;;;;;;;;;1;6386332;0.733724;0;0.733724
01.601.918/0001-59;2024-12-01;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;500000;1;0;1
01.633.741/0001-72;2024-12-01;1;259;104859;0.206412;0.043;0.1634;1;30642;0.060318;0;0.0603;;;;;;1;89812;0.176792;0;0.1768;;;;;;;;;;;;;;;;1;282695;0.55647;;0.5565
01.636.325/0001-28;2024-12-01;1;0;0;0;0;;0;0;0;0;;0;0;0;0;;0;0;0;0;;0;0;0;0;;0;0;0;0;;0;0;0;0;;0;0;0;0;
01.657.856/0001-05;2024-12-01;1;4720;2394684;0.5702;0.5699;0.0003;4;1317316;0.3136;0.1755;0.1381;1;488000;0.1162;;0.1162;;;;;;;;;;;;;;;;;;;;;;;;;
02.027.437/0001-44;2024-12-01;1;7;5502;0.0365338645418327;0.036534;0;2;29630;0.196746347941567;0.196746;0;2;40168;0.2667197875166;0.11672;0.15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;75300;0.5;0;0.5;0;0;0;0;0
02.508.235/0001-14;2024-12-01;1;2;890;0.052;0.052;0;;;;;;1;2466;0.144210526315789;0.144210526315789;0;;;;;;;;;;;;;;;;;;;;;1;13744;0.80374269005848;0.80374269005848;0
03.251.720/0001-18;2024-12-01;1;757;202903;0.2705;0.2196;0.0509;3;185075;0.2468;0.0679;0.1789;1;109685;0.1462;0;0.1462;2;252337;0.3364;0;0.3364;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
03.507.519/0001-59;2024-12-01;4;2213;608950;1;0.949255275474185;0.0507447245258231;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
