CNPJ_Fundo_Classe;Data_Referencia;Versao;Nome_Diretor_Representante;Funcao;Nome_Empresa;Periodo;Cargo_Funcao;Atividade_Principal
00.332.266/0001-31;2024-12-01;1;PAULO ANDRE PORTO BILYK;Diretor Responsável pelo FII;Rio Bravo Investimentos;Desde 2015;Chief Investment Officer;Investimentos Imobiliários
00.332.266/0001-31;2024-12-01;1;PAULO ANDRE PORTO BILYK;Diretor Responsável pelo FII;Rio Bravo Investimentos;Desde 2019;Chief Executive Officer;Investimentos Imobiliários
00.613.094/0001-74;2024-12-01;1;Rodrigo de Godoy;Diretor Responsável pelo FII;BANCO GENIAL S.A.;2016/Atual;Diretor;Instituição Financeira
00.762.723/0001-28;2024-12-01;1;Paulo Andre Porto Bilyk;Diretor Responsável pelo FII;Rio Bravo Investimentos Ltda.;desde 2019;CEO Chief Executive Officer;Investimentos Imobiliários
00.762.723/0001-28;2024-12-01;1;Paulo Andre Porto Bilyk;Diretor Responsável pelo FII;Rio Bravo Investimentos Ltda.;desde 2015;CIO Chief Investment Officer;Investimentos Imobiliários
00.868.235/0001-08;2024-12-01;1;Paulo Andre Porto Bilyk;Diretor Responsável pelo FII;Rio Bravo Investimentos Ltda.;desde 2019;CEO Chief Executive Officer;Investimentos Imobiliários
00.868.235/0001-08;2024-12-01;1;Paulo Andre Porto Bilyk;Diretor Responsável pelo FII;Rio Bravo Investimentos Ltda.;desde 2015;CIO Chief Investment Officer;Investimentos Imobiliários
01.201.140/0001-90;2024-12-01;1;Paulo Andre Porto Bilyk;Diretor Responsável pelo FII;Rio Bravo Investimentos Ltda.;desde 2019;CEO Chief Executive Officer;Investimentos Imobiliários
01.201.140/0001-90;2024-12-01;1;Paulo Andre Porto Bilyk;Diretor Responsável pelo FII;Rio Bravo Investimentos Ltda.;desde 2015;CIO Chief Investment Officer;Investimentos Imobiliários
01.235.622/0001-61;2024-12-01;1;Marcelo Vieira Francisco;Diretor Responsável pelo FII;Apex Holding Ltda;Desde 08/2024;Diretor Executivo Adm Fiduciária e Produtos;Administrador fiduciário
01.235.622/0001-61;2024-12-01;1;Marcelo Vieira Francisco;Diretor Responsável pelo FII;Kanastra Gestão de Recursos Ltda;07/2022 até 08/2024;Diretor de Operações;Administrador fiduciário
01.235.622/0001-61;2024-12-01;1;Marcelo Vieira Francisco;Diretor Responsável pelo FII;Santander Securities Services DTVM;04/2019 até 05/2022;Diretor de Administração Fiduciária;Administrador fiduciário
01.497.954/0001-14;2024-12-01;1;EDE ANTONIO GASPERIN;Diretor Responsável pelo FII;Corretora Geral de Valores e Câmbio Ltda.;Desde 01/06/1982;Diretor;Corretora de Valores e Câmbio
01.601.918/0001-59;2024-12-01;1;PAULO ANDRE PORTO BILYK;Diretor Responsável pelo FII;Rio Bravo Investimentos;Desde 2019;CEO Chief Executive Officer;Investimentos Imobiliários
01.601.918/0001-59;2024-12-01;1;PAULO ANDRE PORTO BILYK;Diretor Responsável pelo FII;Rio Bravo Investimentos;Desde 2015;CIO Chief Investment Officer;Investimentos Imobiliários
