CNPJ_Fundo_Classe;Data_Referencia;Versao;Nome_Prestador;CNPJ_Prestador;Endereco;Telefone
04.141.645/0001-03;2024-12-01;1;JJ Chaves Contadores Sociedade Simples Ltda;94154119000162;Roa Dona Laura, 414 - Porto Alegre - RS;51-3388.3677
07.122.725/0001-00;2024-12-01;1;CONDOMINIO TORRE ALMIRANTE;07123702000101;AV ALM BARROSO, 81,  - , RIO DE JANEIRO - RJ - 20031-000;()
07.583.627/0001-61;2024-12-01;1;N/A;0;N/A;N/A
10.427.246/0001-06;2024-12-01;1;CONDOMINIO TORRE ALMIRANTE;07123702000101;AV ALMIRANTE BARROSO, 81, - , RIO DE JANEIRO - RJ - 20031--000;()
10.427.246/0001-06;2024-12-01;1;BRAZILIAN FINANCIAL CENTER;11923940000179;AV PAULISTA, 1374, - BELA VISTA, SAO PAULO - SP - 01310-916;(11) 30412200
12.323.955/0001-69;2024-12-01;1;PRISMA REAL ESTATE GESTORA DE RECURSOS LTDA.;36358004000193;Av. Brg. Faria Lima, 2.601 - 11 andar - Jardim Paulistano;(11) 4858-3744
12.804.013/0001-00;2024-12-01;1;JURERE SC 401 INCORPORAÇÃO IMOBILIÁRIA LTDA.;14630884000172;ROD. JOSE CARLOS MAUX, 5000;
12.804.013/0001-00;2024-12-01;1;JJ CHAVES CONTADORES SOCIEDADE SIMPLES LTDA.;94154119000162;RUA DONA LAURA, 414 - PORTO ALEGRE/RS;(51) 3388-3677
12.927.767/0001-40;2024-12-01;1;LIDER SERVIÇOS GERAIS EIRELI;23.211.179/0001-21;AVENIDA EMBAIXADOR ABELARDO BUENO, 1, BLOCO C, SALA 311-E, JACARÉPAGUÁ/RJ, CEP 22775-022;(21) 3298 9002
13.974.819/0001-00;2024-12-01;1;N/A;0;N/A;N/A
14.217.108/0001-45;2024-12-01;1;Furtado e Neto Advogados LTDA.;4158467000115;Rua Ministro Calógeras, 343;(47) 2105-3393
14.217.108/0001-45;2024-12-01;1;Perville Engenharia e Empreendimentos Ltda.;75491613000305;Rua Dona Francisca, 8300 - Distrito Industrial - Joinville - SC;(47) 3803-2200
15.006.267/0001-63;2024-12-01;1;n/a;n/a;n/a;n/a
15.006.267/0001-63;2024-12-01;1;n/a;n/a;n/a;n/a
15.333.306/0001-37;2024-12-01;1;CONDOMINIO EDIFICIO GALERIA;15.164.827/0001-08;RUA DA QUITANDA, 86, - CENTRO, RIO DE JANEIRO - RJ - 20091--005;-
15.333.306/0001-37;2024-12-01;1;n/a;n/a;n/a;n/a
15.447.108/0001-02;2024-12-01;1;CONDOMINIO CIVIL DO INTERNACIONAL GUARULHOS SHOPPING CENTER;01677206000113;R ENG CAMILO OLIVETTI, 0,  - ITAPEGICAVILA HERM, GUARULHOS - SP - 07042-040;()
